date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-30 14:45:00,177.81,177.85,177.42,177.47,1044357.0,-0.1519,177.3841,54.7743,177.66578002868366,177.3841,177.10241997131632
2023-05-30 15:00:00,177.47,177.53,177.25,177.475,1289238.0,-0.0197,177.3823,54.8187,177.67696256043845,177.3823,177.08763743956152
2023-05-30 15:15:00,177.475,177.61,177.38,177.52,906934.0,-0.0512,177.3778,55.2347,177.73450787754703,177.3778,177.02109212245298
2023-05-30 15:30:00,177.53,177.685,177.36,177.505,1155151.0,0.274,177.402,55.0568,177.84938054496038,177.402,176.9546194550396
2023-05-30 15:45:00,177.5,177.67,176.81,177.349,4573654.0,-0.0513,177.3975,53.1816,177.94220705251664,177.3975,176.85279294748338
2023-05-30 16:00:00,177.34,177.58,177.092,177.29,14213122.0,-0.1296,177.386,52.4702,177.99657968713973,177.386,176.77542031286026
2023-05-30 16:15:00,177.28,177.37,177.1,177.22,56264.0,-0.0113,177.385,51.6079,178.02479453113224,177.385,176.74520546886774
2023-05-30 16:30:00,177.23,177.29,177.17,177.235,10262.0,-0.2055,177.3667,51.7867,178.03496185553544,177.3667,176.69843814446457
2023-05-30 16:45:00,177.25,177.38,177.21,177.27,64373.0,-0.0293,177.3641,52.22,178.0485763362834,177.3641,176.67962366371663
2023-05-30 17:00:00,177.24,177.34,177.22,177.305,8398.0,0.0875,177.3719,52.6679,178.0693041391434,177.3719,176.6744958608566
2023-05-30 17:15:00,177.29,177.32,177.22,177.29,6251.0,0.0384,177.3753,52.4461,178.08097050854312,177.3753,176.6696294914569
2023-05-30 17:30:00,177.255,177.32,177.2,177.26,15113.0,-0.1071,177.3658,51.9853,178.07862478262254,177.3658,176.65297521737747
2023-05-30 17:45:00,177.28,177.28,177.12,177.13,10383.0,-0.3936,177.3308,49.982,178.0435802503862,177.3308,176.6180197496138
2023-05-30 18:00:00,177.17,177.35,177.12,177.24,2724.0,-0.2589,177.3078,51.6418,178.02210526585347,177.3078,176.5934947341465
2023-05-30 18:15:00,177.22,177.33,177.16,177.212,2583.0,0.035,177.3109,51.1867,178.03087590194102,177.3109,176.590924098059
2023-05-30 18:30:00,177.22,177.37,177.18,177.34,6676.0,0.1468,177.3239,53.1726,178.04761319556457,177.3239,176.60018680443545
2023-05-30 18:45:00,177.34,177.39,177.31,177.37,6601.0,0.226,177.3439,53.6379,178.06128305684823,177.3439,176.62651694315176
2023-05-30 19:00:00,177.39,177.59,177.35,177.485,13830.0,0.2797,177.3686,55.4253,178.071942791128,177.3686,176.66525720887196
2023-05-30 19:15:00,177.49,177.67,177.42,177.65,20662.0,0.0298,177.3713,57.8779,178.04719221948315,177.3713,176.69540778051683
2023-05-30 19:30:00,177.65,177.7,177.55,177.68,13330.0,-0.0731,177.3648,58.3169,178.00489454251067,177.3648,176.72470545748934
2023-05-30 19:45:00,177.68,177.68,177.6,177.67,14313.0,0.1127,177.3748,58.1044,177.93850513938617,177.3748,176.81109486061382
2023-05-31 04:00:00,177.48,177.48,176.6,176.64,8948.0,-0.4705,177.333,41.6522,177.79574863898623,177.333,176.87025136101377
2023-05-31 04:15:00,176.66,176.9,176.55,176.65,7032.0,-0.4901,177.2895,41.8206,177.75532713828912,177.2895,176.8236728617109
2023-05-31 04:30:00,176.66,176.69,176.41,176.56,6163.0,-0.5324,177.2423,40.7078,177.7006430352601,177.2423,176.7839569647399
2023-05-31 04:45:00,176.56,176.69,176.51,176.69,4025.0,-0.3716,177.2093,43.0133,177.77061055811404,177.2093,176.64798944188598
