date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-30 15:15:00,263.41,263.43,262.899,263.015,383868.0,-0.7521,264.3862,43.4156,265.1527008547093,264.3862,263.61969914529067
2023-05-30 15:30:00,263.02,263.28,262.458,262.51,494224.0,-0.8386,264.2752,41.7434,265.1665501789738,264.2752,263.38384982102616
2023-05-30 15:45:00,262.51,262.82,261.47,262.61,1231611.0,-1.096,264.1297,42.2074,265.15733264195916,264.1297,263.10206735804087
2023-05-30 16:00:00,262.58,266.399,262.42,262.56,4521610.0,-1.1185,263.9812,42.0312,265.07810611369365,263.9812,262.88429388630635
2023-05-30 16:15:00,262.52,262.86,262.52,262.71,67261.0,-0.8084,263.8742,42.7854,264.8795728615193,263.8742,262.86882713848064
2023-05-30 16:30:00,262.76,263.0,262.6,262.8,4521.0,-0.9237,263.7517,43.2517,264.80182473502,263.7517,262.7015752649801
2023-05-30 16:45:00,262.755,263.0,262.52,262.82,86327.0,-1.1713,263.5959,43.3597,264.6522726277651,263.5959,262.53952737223483
2023-05-30 17:00:00,262.84,262.99,262.82,262.88,3970.0,-1.3202,263.4201,43.698,264.49085984117045,263.4201,262.34934015882953
2023-05-30 17:15:00,262.85,262.93,262.52,262.66,4885.0,-1.0883,263.2756,42.7133,264.38775689237303,263.2756,262.16344310762696
2023-05-30 17:30:00,262.66,262.8,262.52,262.63,3806.0,-0.8082,263.1686,42.5756,264.35522304031343,263.1686,261.9819769596866
2023-05-30 17:45:00,262.7,262.8,262.52,262.6,1975.0,-1.2113,263.0076,42.4316,264.24885171450035,263.0076,261.7663482854997
2023-05-30 18:00:00,262.6,262.77,262.52,262.75,3726.0,-0.7592,262.9071,43.4385,264.136525898935,262.9071,261.677674101065
2023-05-30 18:15:00,262.56,262.77,262.52,262.65,1390.0,-0.5716,262.8316,42.9118,264.04159244839906,262.8316,261.6216075516009
2023-05-30 18:30:00,262.6,262.77,262.52,262.75,2300.0,-0.1558,262.811,43.6312,264.00295415500716,262.811,261.6190458449928
2023-05-30 18:45:00,262.65,262.77,262.53,262.57,2680.0,0.2773,262.8474,42.6137,264.04529702426305,262.8474,261.64950297573694
2023-05-30 19:00:00,262.65,263.0,262.53,262.95,3933.0,0.4661,262.9084,45.4412,264.17195956638943,262.9084,261.6448404336105
2023-05-30 19:15:00,262.8,263.39,262.8,263.39,2808.0,0.0817,262.9191,48.532,264.137661262204,262.9191,261.700538737796
2023-05-30 19:30:00,263.38,263.39,263.01,263.155,1351.0,-0.4521,262.8594,47.034,264.11038411554523,262.8594,261.60841588445476
2023-05-30 19:45:00,263.27,263.4,263.01,263.38,2368.0,-0.1429,262.8405,48.632,264.0602288549382,262.8405,261.62077114506184
2023-05-31 04:00:00,262.62,262.62,261.57,261.57,1962.0,-0.7023,262.748,38.736,263.83839715927223,262.748,261.65760284072775
2023-05-31 04:15:00,261.83,261.83,261.57,261.77,1292.0,-0.4734,262.6858,40.1525,263.8932301645958,262.6858,261.4783698354041
2023-05-31 04:30:00,261.75,261.79,261.48,261.51,3567.0,-0.3809,262.6358,38.921,263.96307113093275,262.6358,261.3085288690673
2023-05-31 04:45:00,261.52,261.89,261.51,261.86,1125.0,-0.2856,262.5982,41.4648,263.95781449646,262.5982,261.23858550354004
2023-05-31 05:00:00,261.68,262.03,261.68,261.99,2961.0,-0.2171,262.5698,42.4027,263.98282255935743,262.5698,261.15677744064254
2023-05-31 05:15:00,261.98,261.98,261.79,261.8,643.0,-0.3464,262.5242,41.3826,263.94874429567113,262.5242,261.0996557043289
2023-05-31 05:30:00,261.8,262.4,261.52,262.4,1655.0,-0.1522,262.5042,45.7231,263.93598435887856,262.5042,261.0724156411215
2023-05-31 05:45:00,262.37,262.37,261.76,261.76,42.0,-0.4033,262.4512,42.2134,263.93224057145835,262.4512,260.9701594285416
